alt,apps,batt_voltage,cg_accel_x,cg_accel_y,cg_accel_z,coolant_temp,epoch,fr_adc1,fr_adc2,fr_adc3,fr_adc4,gear,lambda,lat,lon,map,nanos,oil_pa,rpm,timestamp,tps
233016,286,132,98,65477,2501,2906,1731130513,708,627,562,1472,0,534,30.3863204,97.7244498,598,974787182,5911,3667,1731130513,139
233036,287,132,108,65409,2550,2906,1731130514,708,626,563,1465,0,533,30.3863204,97.7244498,611,174787129,5822,3037,1731130514,139
233050,287,132,108,65379,2452,2906,1731130514,714,635,565,1472,0,533,30.3863204,97.7244498,648,274787103,5610,2682,1731130514,140
233058,285,132,108,65467,2490,2908,1731130514,706,625,562,1471,0,534,30.3863204,97.7244498,700,374787076,5088,2155,1731130514,139
233069,293,132,127,65448,2510,2908,1731130514,707,629,563,1468,0,533,30.3863204,97.7244498,766,474787049,4785,2544,1731130514,139
233080,289,132,118,65320,2521,2908,1731130514,704,624,562,1469,0,536,30.3863204,97.7244499,770,574787023,4929,3178,1731130514,139
233101,286,132,118,65438,2481,2908,1731130514,707,627,562,1464,0,533,30.3863204,97.7244499,688,674786996,5375,4153,1731130514,140
233108,291,132,108,10,2461,2909,1731130514,705,623,563,1470,0,534,30.3863204,97.7244499,623,774786970,5681,4694,1731130514,140
233116,301,132,118,65487,2569,2909,1731130514,703,622,564,1476,0,533,30.3863204,97.7244499,555,874786943,5848,4562,1731130514,141
233129,295,132,98,65389,2550,2911,1731130514,706,625,563,1468,0,533,30.3863204,97.7244499,556,974786917,5943,3756,1731130514,142
233144,305,133,118,65350,2568,2911,1731130515,704,627,563,1464,0,534,30.3863204,97.7244499,582,74786890,5921,3444,1731130515,142
233155,324,133,108,65389,2551,2912,1731130515,705,622,561,1468,0,534,30.3863204,97.7244499,608,174786864,5841,3079,1731130515,149
233163,328,132,118,65487,2471,2912,1731130515,704,627,563,1469,0,535,30.3863204,97.7244499,644,274786837,5685,2568,1731130515,158
233170,329,132,118,65477,2490,2911,1731130515,709,631,564,1470,0,533,30.3863204,97.7244499,736,374786811,4923,1664,1731130515,162
233181,334,132,108,65477,2491,2912,1731130515,704,623,563,1465,0,533,30.3863204,97.7244499,859,474786784,4198,1889,1731130515,165
233186,435,132,118,65487,2490,2912,1731130515,711,632,564,1468,0,533,30.3863204,97.72445,856,574786758,4241,2738,1731130515,190
233199,480,132,118,65487,2501,2912,1731130515,706,626,563,1468,0,533,30.3863204,97.72445,891,674786731,4425,2569,1731130515,257
233206,467,132,127,65448,2531,2912,1731130515,706,623,563,1465,0,533,30.3863204,97.72445,912,774786705,4574,2929,1731130515,266
233198,458,132,127,65477,2432,2913,1731130515,710,627,563,1472,0,534,30.3863204,97.72445,830,874786678,5097,5008,1731130515,262
233214,434,133,118,65467,2531,2913,1731130515,703,624,564,1469,0,531,30.3863204,97.72445,723,974786652,5683,5401,1731130515,256
233229,362,133,127,65349,2480,2915,1731130516,704,626,563,1474,0,535,30.3863204,97.7244501,692,174786599,5897,5169,1731130516,227
233244,353,133,118,65487,2480,2915,1731130516,705,626,562,1470,0,534,30.3863204,97.7244501,641,274786572,6038,4941,1731130516,193
233255,353,133,118,65507,2453,2915,1731130516,705,625,562,1477,0,535,30.3863204,97.7244501,611,374786546,6076,4702,1731130516,184
233269,354,133,98,65526,2443,2915,1731130516,704,626,563,1466,0,533,30.3863204,97.7244501,596,474786519,6111,4694,1731130516,183
233279,370,133,108,65507,2550,2917,1731130516,704,623,561,1468,0,534,30.3863203,97.7244502,594,574786493,6083,4472,1731130516,189
233285,378,133,118,65458,2501,2917,1731130516,707,628,563,1472,0,533,30.3863203,97.7244502,639,674786466,6024,3499,1731130516,198
233293,373,133,29,20,2433,2918,1731130516,709,625,563,1460,0,533,30.3863202,97.7244502,696,774786440,6014,3928,1731130516,199
233307,378,133,118,29,2372,2918,1731130516,701,622,564,1465,0,534,30.3863202,97.7244502,697,874786413,6042,4652,1731130516,199
233319,377,133,118,65458,2530,2918,1731130516,712,632,565,1467,0,533,30.3863202,97.7244502,636,974786387,6148,5005,1731130516,199
233333,377,133,127,65458,2490,2918,1731130517,709,628,563,1465,0,535,30.3863201,97.7244502,624,74786361,6093,4731,1731130517,200
233338,376,133,118,65428,2530,2918,1731130517,708,628,563,1473,0,535,30.3863201,97.7244502,618,174786334,6110,4909,1731130517,200
233345,376,133,127,65487,2480,2918,1731130517,709,629,564,1470,0,533,30.3863201,97.7244503,611,274786308,6197,4971,1731130517,199
233363,376,133,118,65458,2511,2920,1731130517,702,625,563,1468,0,534,30.38632,97.7244503,604,374786281,6186,5133,1731130517,199
233373,373,133,127,65477,2490,2920,1731130517,708,629,563,1469,0,534,30.38632,97.7244503,603,474786255,6185,5017,1731130517,199
